feature,coefficient,std_err,z_value,p_value,conf_int_lower,conf_int_upper
link_200130081,0.3610729516372229,,,,,
link_200130082,0.4244198351416397,,,,,
link_200130084,-0.0946669723094205,,,,,
link_200130111,0.1232283983917169,,,,,
link_200130120,0.1426512771340404,,,,,
link_200130182,0.2027908083056648,,,,,
link_200130188,-0.0437070089871137,,,,,
link_200130223,0.428089597108889,,,,,
link_200130224,0.4217494546002537,,,,,
link_200130235,0.3044625261473591,,,,,
link_200130238,0.3129124547130184,,,,,
link_200130239,0.4025741917864028,,,,,
link_200130251,0.1822996971694836,,,,,
link_200130252,0.2750780626753847,,,,,
link_200130256,0.3687015565830924,,,,,
link_200130259,0.3330654616065377,,,,,
link_200130379,-0.0765766862270853,,,,,
link_200130924,0.1246727972814248,,,,,
link_A1 northbound between A47 and B1081 near Stamford (south),0.307866601936223,,,,,
link_A1 northbound between B1041 and B661,0.1825484901974378,,,,,
link_A1 northbound between B1081 near Stamford (south) and A43,0.2508626059937996,,,,,
link_A1 northbound between B645/B1048 and B1041,0.370134863312863,,,,,
link_A1 northbound exit for A47,-0.6172904834988382,,,,,
link_A1 northbound exit for A605,-0.5234062954030047,,,,,
link_A1 northbound exit for A6118,-0.6328452523449021,,,,,
link_A1 northbound within the A47 junction,0.1614293142644061,,,,,
link_A1 northbound within the A605 junction,0.2817808423813794,,,,,
link_A1 northbound within the A6118 junction,0.2322923446141118,,,,,
link_A1 southbound between A43 and B1081 near Stamford (south),0.2415317613427547,,,,,
link_A1 southbound between B1041 and B645/B1048,0.2943234276377812,,,,,
link_A1 southbound between B661 and B1041,0.2137240588433248,,,,,
link_A1 southbound exit for A1(M)/A605/A1139,-0.0217006445049016,,,,,
link_A1 southbound exit for A43,-0.3552915222831003,,,,,
link_A1 southbound exit for A47,-0.5071706710092538,,,,,
link_A1 southbound exit for A605,-1.045578837675558,,,,,
link_A1 southbound within the A47 junction,0.2038450213688695,,,,,
link_A1 southbound within the A605 junction,0.244360673844892,,,,,
link_A11 northbound access from A505,0.2240024031601545,,,,,
link_A11 northbound between A1301 and A505,0.3301461156746334,,,,,
link_A11 northbound between A1307 and A1304,0.3643676882920559,,,,,
link_A11 northbound between A14/A1304 and B1085 near Red Lodge (south),0.3412930450597965,,,,,
link_A11 northbound between B1085 near Red Lodge (south) and B1085 near Red Lodge (north),0.3556612614713818,,,,,
link_A11 southbound between A1304 and A1307,0.3496332965415593,,,,,
link_A11 southbound between A14 and A1304,0.3259371382758757,,,,,
link_A11 southbound between A505 and A1301,0.4095509413561233,,,,,
link_A11 southbound between B1085 near Red Lodge (south) and A14/A1304,0.346387803413937,,,,,
link_A11 southbound exit for A505,0.1450408273736051,,,,,
link_A14 J35 eastbound exit,-0.0766577527667606,,,,,
link_A14 J35 westbound exit,0.0871225423439226,,,,,
link_A14 eastbound between J33 and J34,0.259118747007893,,,,,
link_A14 eastbound within J20,0.3008234197167282,,,,,
link_A14 eastbound within J35,0.2530466358942765,,,,,
